ID,Title,Year,Authors,Region,Participants_Female,Participants_Male,Funding_Source,Research_Area,Trial_Outcome,Gender_Imbalance_Score
883,Study on Neurology (2010),2005,Author23; Author77,North America,21,456,Private,Pharmacology,Success,435
884,Study on Oncology (2000),2010,Author17; Author75,Asia,105,347,Private,Public Health,Failure,242
885,Study on Public Health (2023),2016,Author42; Author82,Europe,62,451,NGO,Public Health,Failure,389
886,Study on Public Health (2005),2014,Author37; Author89,Africa,154,86,NGO,Pharmacology,Success,68
887,Study on Cardiology (2012),2003,Author31; Author53,Europe,147,93,Private,Cardiology,Success,54
888,Study on Pharmacology (2022),2021,Author12; Author68,Asia,74,454,Private,Pharmacology,Failure,380
889,Study on Cardiology (2016),2006,Author26; Author60,Oceania,376,84,Private,Oncology,Failure,292
890,Study on Pharmacology (2021),2022,Author40; Author89,Oceania,234,101,NGO,Public Health,Failure,133
891,Study on Neurology (2002),2018,Author44; Author95,North America,382,403,Private,Neurology,Neutral,21
892,Study on Public Health (2023),2015,Author26; Author53,Oceania,14,374,Government,Public Health,Success,360
893,Study on Oncology (2013),2002,Author26; Author72,North America,129,36,Private,Pharmacology,Success,93
894,Study on Oncology (2014),2016,Author45; Author66,North America,56,224,Government,Public Health,Failure,168
895,Study on Oncology (2010),2014,Author4; Author98,Africa,87,167,NGO,Pharmacology,Failure,80
896,Study on Pharmacology (2013),2001,Author31; Author68,Oceania,17,168,Private,Genetics,Neutral,151
897,Study on Pharmacology (2012),2014,Author24; Author52,North America,262,383,NGO,Neurology,Failure,121
898,Study on Genetics (2020),2004,Author22; Author70,Africa,121,403,Private,Neurology,Failure,282
899,Study on Public Health (2009),2016,Author20; Author68,Africa,185,238,Private,Neurology,Neutral,53
900,Study on Oncology (2012),2013,Author32; Author95,South America,225,157,Private,Oncology,Neutral,68
901,Study on Oncology (2010),2014,Author44; Author57,Africa,169,330,Government,Oncology,Success,161
902,Study on Cardiology (2019),2018,Author15; Author59,Europe,412,102,NGO,Pharmacology,Success,310
903,Study on Public Health (2022),2001,Author20; Author98,North America,419,70,NGO,Oncology,Neutral,349
904,Study on Neurology (2002),2017,Author29; Author100,Africa,265,470,Private,Cardiology,Failure,205
905,Study on Public Health (2003),2014,Author21; Author68,Asia,200,77,Private,Neurology,Success,123
906,Study on Cardiology (2013),2021,Author47; Author77,Africa,247,113,Private,Neurology,Success,134
907,Study on Pharmacology (2012),2009,Author39; Author92,Africa,366,11,Government,Genetics,Failure,355
908,Study on Pharmacology (2002),2023,Author6; Author63,South America,415,328,Government,Pharmacology,Failure,87
909,Study on Public Health (2009),2000,Author29; Author64,Oceania,26,401,NGO,Oncology,Failure,375
910,Study on Genetics (2010),2012,Author27; Author98,Europe,179,139,NGO,Genetics,Failure,40
911,Study on Cardiology (2010),2008,Author32; Author99,Asia,51,16,Government,Neurology,Neutral,35
912,Study on Cardiology (2002),2000,Author34; Author74,South America,441,244,Government,Public Health,Neutral,197
913,Study on Pharmacology (2020),2023,Author4; Author83,Europe,394,264,Private,Oncology,Failure,130
914,Study on Oncology (2016),2006,Author11; Author55,Africa,497,447,NGO,Public Health,Success,50
915,Study on Pharmacology (2006),2018,Author20; Author96,Oceania,84,265,NGO,Neurology,Failure,181
916,Study on Neurology (2011),2002,Author33; Author76,Asia,38,288,NGO,Neurology,Success,250
917,Study on Genetics (2020),2001,Author9; Author100,Europe,146,423,Private,Public Health,Success,277
918,Study on Cardiology (2007),2013,Author34; Author87,South America,407,12,Government,Neurology,Neutral,395
919,Study on Oncology (2004),2011,Author2; Author62,Africa,210,321,Private,Oncology,Neutral,111
920,Study on Neurology (2006),2022,Author13; Author63,Africa,46,461,Private,Genetics,Success,415
921,Study on Cardiology (2019),2002,Author4; Author66,North America,288,262,NGO,Cardiology,Success,26
922,Study on Cardiology (2020),2017,Author3; Author80,South America,250,131,Private,Cardiology,Failure,119
923,Study on Oncology (2005),2001,Author4; Author74,Asia,102,121,Government,Cardiology,Failure,19
924,Study on Genetics (2015),2002,Author46; Author63,Africa,108,311,Private,Genetics,Failure,203
925,Study on Public Health (2018),2015,Author18; Author74,North America,468,347,Private,Neurology,Success,121
926,Study on Pharmacology (2014),2001,Author30; Author83,Oceania,440,253,Government,Pharmacology,Failure,187
927,Study on Genetics (2018),2009,Author26; Author91,Europe,138,242,Private,Oncology,Success,104
928,Study on Genetics (2020),2013,Author8; Author94,Africa,428,219,Government,Genetics,Failure,209
929,Study on Pharmacology (2010),2005,Author2; Author66,Oceania,205,236,Private,Oncology,Success,31
930,Study on Genetics (2010),2004,Author24; Author82,Europe,434,50,NGO,Neurology,Neutral,384
931,Study on Cardiology (2014),2020,Author39; Author79,Africa,16,317,Government,Oncology,Neutral,301
932,Study on Oncology (2015),2023,Author12; Author81,Europe,72,317,NGO,Neurology,Success,245
933,Study on Public Health (2020),2020,Author38; Author86,South America,403,13,Private,Cardiology,Neutral,390
934,Study on Neurology (2008),2013,Author23; Author73,Europe,375,135,Government,Oncology,Success,240
935,Study on Pharmacology (2001),2011,Author11; Author67,Europe,137,461,Private,Pharmacology,Neutral,324
936,Study on Neurology (2016),2012,Author48; Author95,Africa,207,290,NGO,Neurology,Neutral,83
937,Study on Oncology (2009),2014,Author6; Author69,Africa,404,152,Private,Oncology,Neutral,252
938,Study on Public Health (2014),2012,Author2; Author75,Oceania,236,327,Private,Public Health,Neutral,91
939,Study on Oncology (2001),2012,Author4; Author61,Europe,136,331,Private,Genetics,Failure,195
940,Study on Neurology (2009),2002,Author37; Author100,Oceania,387,295,NGO,Public Health,Failure,92
941,Study on Oncology (2020),2021,Author14; Author65,Oceania,27,429,NGO,Pharmacology,Failure,402
942,Study on Oncology (2019),2021,Author42; Author65,South America,111,432,Government,Pharmacology,Neutral,321
943,Study on Pharmacology (2016),2017,Author44; Author64,Asia,245,116,Private,Public Health,Neutral,129
944,Study on Public Health (2014),2004,Author18; Author92,North America,386,35,Private,Neurology,Neutral,351
945,Study on Pharmacology (2017),2020,Author27; Author83,Europe,404,104,Government,Oncology,Failure,300
946,Study on Genetics (2001),2011,Author2; Author100,South America,58,85,Private,Genetics,Neutral,27
947,Study on Public Health (2018),2003,Author50; Author94,Europe,276,38,Private,Public Health,Neutral,238
948,Study on Genetics (2006),2005,Author1; Author81,North America,350,344,Private,Pharmacology,Failure,6
949,Study on Neurology (2019),2017,Author9; Author92,Asia,116,188,Private,Oncology,Failure,72
950,Study on Public Health (2016),2012,Author12; Author89,Asia,252,28,Private,Neurology,Success,224
951,Study on Cardiology (2001),2016,Author1; Author65,Europe,209,84,NGO,Public Health,Failure,125
952,Study on Public Health (2003),2004,Author17; Author89,North America,358,447,NGO,Pharmacology,Neutral,89
953,Study on Neurology (2022),2023,Author20; Author96,Oceania,169,26,NGO,Public Health,Neutral,143
954,Study on Oncology (2016),2007,Author46; Author92,Europe,489,351,Government,Neurology,Success,138
955,Study on Genetics (2005),2000,Author18; Author78,Africa,175,305,Government,Pharmacology,Neutral,130
956,Study on Oncology (2007),2000,Author25; Author73,Asia,91,439,NGO,Oncology,Failure,348
957,Study on Genetics (2014),2009,Author30; Author67,South America,332,318,Government,Public Health,Failure,14
958,Study on Public Health (2016),2014,Author14; Author80,South America,382,162,NGO,Oncology,Neutral,220
959,Study on Pharmacology (2019),2021,Author20; Author94,South America,31,179,Private,Genetics,Success,148
960,Study on Cardiology (2011),2023,Author34; Author90,North America,391,481,Private,Genetics,Neutral,90
961,Study on Neurology (2009),2017,Author26; Author88,North America,489,54,Private,Cardiology,Neutral,435
962,Study on Public Health (2013),2013,Author7; Author51,Oceania,291,35,NGO,Neurology,Neutral,256
963,Study on Neurology (2021),2017,Author33; Author93,Asia,276,65,Government,Public Health,Neutral,211
964,Study on Pharmacology (2001),2012,Author24; Author86,North America,72,223,NGO,Pharmacology,Failure,151
965,Study on Genetics (2020),2007,Author42; Author89,Oceania,139,101,Government,Genetics,Neutral,38
966,Study on Neurology (2002),2007,Author39; Author69,Africa,256,92,Government,Neurology,Failure,164
967,Study on Neurology (2003),2014,Author20; Author94,Oceania,336,354,Private,Cardiology,Neutral,18
968,Study on Pharmacology (2021),2011,Author7; Author81,Asia,162,155,Private,Pharmacology,Failure,7
969,Study on Public Health (2009),2004,Author5; Author72,Oceania,111,322,NGO,Neurology,Success,211
970,Study on Neurology (2023),2008,Author18; Author91,Asia,194,348,NGO,Neurology,Failure,154
971,Study on Genetics (2019),2006,Author21; Author68,Africa,464,364,Private,Public Health,Success,100
972,Study on Cardiology (2010),2023,Author17; Author92,Africa,36,368,NGO,Cardiology,Success,332
973,Study on Oncology (2018),2003,Author46; Author92,Africa,452,314,Private,Public Health,Neutral,138
974,Study on Genetics (2004),2001,Author20; Author63,Europe,351,303,NGO,Genetics,Failure,48
975,Study on Neurology (2009),2021,Author10; Author84,South America,121,413,Government,Oncology,Failure,292
976,Study on Genetics (2022),2013,Author49; Author66,Oceania,67,297,NGO,Pharmacology,Neutral,230
977,Study on Genetics (2012),2019,Author4; Author89,South America,130,100,Private,Cardiology,Neutral,30
978,Study on Cardiology (2019),2000,Author26; Author93,Asia,334,243,NGO,Neurology,Neutral,91
979,Study on Genetics (2002),2007,Author21; Author94,Africa,232,393,Government,Neurology,Success,161
980,Study on Neurology (2017),2006,Author9; Author97,Oceania,176,306,Government,Oncology,Neutral,130
981,Study on Public Health (2020),2002,Author2; Author92,North America,17,194,Government,Neurology,Neutral,177
982,Study on Neurology (2004),2003,Author32; Author69,Africa,95,486,Private,Pharmacology,Failure,391
983,Study on Genetics (2022),2019,Author17; Author77,Asia,416,28,NGO,Public Health,Success,388
984,Study on Genetics (2021),2001,Author26; Author75,South America,151,57,Private,Cardiology,Success,94
985,Study on Pharmacology (2002),2014,Author48; Author53,Europe,309,403,Private,Pharmacology,Neutral,94
986,Study on Genetics (2021),2019,Author38; Author96,Africa,71,163,Private,Genetics,Neutral,92
987,Study on Public Health (2016),2021,Author37; Author63,South America,212,175,NGO,Oncology,Failure,37
988,Study on Neurology (2000),2022,Author22; Author97,Asia,414,198,Private,Genetics,Neutral,216
989,Study on Neurology (2009),2001,Author46; Author65,Asia,134,469,NGO,Pharmacology,Failure,335
990,Study on Cardiology (2006),2007,Author44; Author85,South America,14,204,Government,Oncology,Neutral,190
991,Study on Neurology (2015),2023,Author41; Author81,South America,31,429,NGO,Pharmacology,Success,398
992,Study on Cardiology (2007),2001,Author43; Author73,Africa,307,44,NGO,Neurology,Success,263
993,Study on Cardiology (2004),2012,Author33; Author70,North America,411,398,Private,Neurology,Success,13
994,Study on Oncology (2009),2014,Author11; Author93,Africa,363,228,Government,Oncology,Neutral,135
995,Study on Oncology (2016),2007,Author36; Author62,Europe,253,441,NGO,Pharmacology,Neutral,188
996,Study on Pharmacology (2023),2017,Author19; Author57,South America,362,291,NGO,Pharmacology,Failure,71
997,Study on Pharmacology (2001),2006,Author31; Author59,Europe,315,43,Private,Public Health,Success,272
998,Study on Genetics (2010),2001,Author48; Author67,Europe,89,159,Government,Public Health,Failure,70
999,Study on Pharmacology (2004),2004,Author47; Author86,North America,200,251,Private,Cardiology,Neutral,51
1000,Study on Pharmacology (2012),2016,Author49; Author62,Africa,404,78,Private,Neurology,Failure,326
